date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-06,15:53:56,NINTEN,Poliwrath,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.29,40,0h0m40s,0,0,0,6,0:02,6.524,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,0,73,2,1,1,2,2,1,0,3000,Jolteon, ,Water,Fighting,232,Poliwrath7,Poliwrath,Rival (Lab),00:00:33.77,00:00:40.29,00:02:05.46,6,0,0,0,40,29,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,13,25,10,20,0,0,0,0,28,28,17,18,15,15,15,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,11,15,15,15,9531,4724,2794,0,2013,0,0,0,73,73,0,0,2,2,1,1,0,0,21,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
1-06,15:55:33,NINTEN,Poliwrath,Bug Catcher,3,Viridian Forest,1,2:17.09,2:17,0h2m17s,0,0,0,8,0:08,8.137,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,0,629,30,2,3,8,8,6,3,2475,Flareon, ,Water,Fighting,344,Poliwrath7,Poliwrath,,00:02:08.95,00:02:17.09,00:08:28.22,8,0,0,2,17,9,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,11,25,8,20,0,0,0,0,15,34,21,22,18,18,18,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,21,22,18,18,18,32487,21627,8847,0,2013,0,0,0,629,629,0,0,30,5,2,3,0,0,64,60,19,19,7,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:55:55,NINTEN,Poliwrath,Brock,1,Pewter City - Gym,2,2:38.75,2:38,0h2m38s,0,0,0,11,0:09,9.413,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,0,735,32,3,3,10,10,7,3,2575,Flareon, ,Water,Fighting,804,Poliwrath7,Poliwrath,Brock,00:02:29.34,00:02:38.75,00:09:53.44,11,0,0,2,38,75,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,11,23,8,20,0,0,0,0,25,44,27,29,24,24,24,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,27,14,24,24,24,37609,24038,11558,0,2013,0,0,0,735,735,0,0,32,6,3,3,0,0,142,121,19,19,9,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:56:23,NINTEN,Poliwrath,Bug Catcher,4,Route 3,3,3:06.82,3:06,0h3m6s,0,0,0,12,0:11,15.127,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,806,33,4,3,16,16,10,4,3763,Flareon, ,Water,Fighting,1139,Poliwrath7,Poliwrath,,00:02:51.70,00:03:06.82,00:11:44.44,12,0,0,3,6,82,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,6,20,8,22,0,0,0,0,24,47,29,32,25,25,25,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,36,32,25,25,16,44269,26108,16148,0,2013,0,0,0,806,806,0,0,33,7,4,3,0,0,291,210,23,23,15,2,9,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1004,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:56:37,NINTEN,Poliwrath,Youngster,1,Route 3,2,3:20.51,3:20,0h3m20s,0,0,0,13,0:12,10.387,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,810,33,5,3,20,20,11,4,3863,Flareon, ,Water,Fighting,1417,Poliwrath7,Poliwrath,,00:03:10.12,00:03:20.51,00:12:38.43,13,0,0,3,20,51,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,3,20,8,21,0,0,0,0,22,50,31,34,27,27,27,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,34,34,27,27,27,47508,26392,19103,0,2013,0,0,0,810,810,0,0,33,8,5,3,0,0,365,269,28,28,18,3,10,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,1282,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:56:51,NINTEN,Poliwrath,Lass,2,Route 3,2,3:34.49,3:34,0h3m34s,0,0,0,14,0:13,10.169,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,816,34,6,3,24,24,13,4,4028,Flareon, ,Water,Fighting,1665,Poliwrath7,Poliwrath,,00:03:24.33,00:03:34.49,00:13:33.52,14,0,0,3,34,49,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,3,20,8,17,0,0,0,0,22,54,33,36,29,29,29,446,534,599,335,335,579,15,15,15,15,0,-1,0,0,0,0,0,37,23,29,29,29,50817,26811,21993,0,2013,0,0,0,816,816,0,0,34,9,6,3,0,0,437,326,32,32,22,3,12,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11,1530,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:57:07,NINTEN,Poliwrath,Bug Catcher,6,Route 3,2,3:51.01,3:51,0h3m51s,0,0,0,14,0:14,9.474,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,874,35,7,3,28,28,15,4,4178,Flareon, ,Water,Fighting,1958,Poliwrath7,Poliwrath,,00:03:41.54,00:03:51.01,00:14:39.01,14,0,0,3,51,1,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,2,20,8,14,0,0,0,0,19,54,33,36,29,29,29,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,37,36,29,29,29,54726,28009,24704,0,2013,0,0,0,874,874,0,0,35,10,7,3,0,0,527,391,35,35,26,3,13,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,1823,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
1-06,15:57:44,NINTEN,Poliwrath,Hiker,1,Mt Moon - 1,3,4:28.36,4:28,0h4m28s,0,0,0,16,0:17,11.148,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1125,43,8,3,31,31,15,5,4288,Flareon, ,Water,Fighting,2555,Poliwrath7,Poliwrath,,00:04:17.22,00:04:28.36,00:17:06.50,16,0,0,4,28,36,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,15,20,10,22,0,0,0,0,60,60,38,41,33,33,33,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,42,41,33,33,33,63595,33823,27759,0,2013,0,0,0,1125,1125,0,0,43,11,8,3,0,0,867,477,35,35,29,3,13,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16,2420,0,0,0,0,3,5,0,1,1,0,0,7,0,Flareon
1-06,15:58:10,NINTEN,Poliwrath,Super Nerd,2,Mt Moon - 3,3,4:53.64,4:53,0h4m53s,0,0,0,17,0:18,12.602,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1246,47,9,3,37,37,17,5,4638,Flareon, ,Water,Fighting,3342,Poliwrath7,Poliwrath,,00:04:41.04,00:04:53.64,00:18:46.40,17,0,0,4,53,64,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,9,20,10,22,0,0,0,0,56,63,40,43,34,34,35,816,964,1244,625,625,924,15,15,15,15,0,0,0,0,0,0,0,45,43,34,34,35,69585,36425,31147,0,2013,0,0,0,1246,1246,0,0,47,12,9,3,0,0,1026,586,42,42,35,3,15,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,19,3207,0,0,0,0,3,5,0,1,1,0,0,7,0,Flareon
1-06,15:58:31,NINTEN,Poliwrath,Rocket,42,Mt Moon - 3,3,5:14.61,5:14,0h5m14s,0,0,0,18,0:20,13.158,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1262,53,10,3,43,43,20,6,4938,Flareon, ,Water,Fighting,4077,Poliwrath7,Poliwrath,,00:05:01.46,00:05:14.61,00:20:09.36,18,0,0,5,14,61,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,5,20,10,20,0,0,0,0,51,67,42,46,36,36,37,931,1134,1418,765,765,1104,15,15,15,15,0,0,0,0,0,0,0,47,46,36,36,37,74561,37883,34665,0,2013,0,0,0,1262,1262,0,0,53,13,10,3,0,0,1197,696,51,51,41,4,17,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,22,3942,0,0,0,0,3,5,0,1,1,0,0,7,0,Flareon
1-06,15:59:10,NINTEN,Poliwrath,Rival2-Nugget Bridge,3,Cerulean City,4,5:53.90,5:53,0h5m53s,0,0,0,19,0:22,14.928,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1440,57,11,3,49,49,22,6,5358,Flareon, ,Water,Fighting,5115,Poliwrath7,Poliwrath,Rival (Nugget Bridge),00:05:38.97,00:05:53.90,00:22:44.20,19,0,0,5,53,90,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,10,20,10,24,0,0,0,0,62,70,44,48,38,38,38,1106,1380,1618,916,916,1341,15,15,15,15,0,-1,0,0,0,0,0,49,31,38,38,38,83845,43148,38684,0,2013,0,0,0,1440,1440,0,0,57,14,11,3,0,0,1419,867,59,59,47,4,19,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,26,4980,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,15:59:24,NINTEN,Poliwrath,Bug Catcher,9,Route 24,2,6:07.59,6:07,0h6m7s,0,0,0,19,0:23,6.046,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1451,57,12,3,51,51,22,6,5953,Flareon, ,Water,Fighting,5430,Poliwrath7,Poliwrath,,00:06:01.53,00:06:07.59,00:23:38.22,19,0,0,6,7,59,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,8,20,10,24,0,0,0,0,62,70,44,48,38,38,38,1191,1445,1683,956,956,1436,15,15,15,15,0,0,0,0,0,0,0,49,48,38,38,38,87087,44453,40621,0,2013,0,0,0,1451,1451,0,0,57,15,12,3,0,0,1508,942,59,59,49,4,19,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,28,5295,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,15:59:35,NINTEN,Poliwrath,Lass,8,Route 24,2,6:18.64,6:18,0h6m18s,0,0,0,20,0:24,8.35,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1453,58,13,3,54,54,23,6,6093,Flareon, ,Water,Fighting,5772,Poliwrath7,Poliwrath,,00:06:10.29,00:06:18.64,00:24:21.56,20,0,0,6,18,64,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,6,20,10,23,0,0,0,0,65,73,46,51,40,40,40,1286,1537,1775,1031,1031,1533,15,15,15,15,-1,0,0,0,0,0,0,33,51,40,40,40,89701,44593,43095,0,2013,0,0,0,1453,1453,0,0,58,16,13,3,0,0,1634,1020,59,59,52,4,20,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,30,5637,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,15:59:45,NINTEN,Poliwrath,Youngster,4,Route 24,3,6:29.44,6:29,0h6m29s,0,0,0,20,0:25,7.996,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1457,62,14,3,57,57,23,6,6303,Flareon, ,Water,Fighting,6291,Poliwrath7,Poliwrath,,00:06:21.45,00:06:29.44,00:25:04.24,20,0,0,6,29,44,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,3,20,10,23,0,0,0,0,65,73,46,51,40,40,40,1391,1698,1889,1136,1136,1715,15,15,15,15,0,0,0,0,0,0,0,51,51,40,40,40,92249,44781,45455,0,2013,0,0,0,1457,1457,0,0,62,17,14,3,0,0,1778,1127,59,59,55,4,20,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,33,6156,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,16:00:00,NINTEN,Poliwrath,Lass,7,Route 24,2,6:43.50,6:43,0h6m43s,0,0,0,21,0:25,11.245,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1461,65,15,3,61,61,26,6,6513,Flareon, ,Water,Fighting,6679,Poliwrath7,Poliwrath,,00:06:32.25,00:06:43.50,00:25:59.51,21,0,0,6,43,50,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,2,20,10,20,0,0,0,0,52,76,49,53,42,42,42,1486,1790,1981,1211,1211,1812,15,15,15,15,0,0,0,0,0,0,0,55,53,42,42,42,95576,44945,48618,0,2013,0,0,0,1461,1461,0,0,65,18,15,3,0,0,1891,1214,75,75,59,4,23,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,35,6544,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,16:00:06,NINTEN,Poliwrath,Jr Trainer M,3,Route 24,1,6:50.05,6:50,0h6m50s,0,0,0,21,0:26,3.81,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1465,66,16,3,62,62,26,6,6753,Flareon, ,Water,Fighting,6964,Poliwrath7,Poliwrath,,00:06:46.24,00:06:50.05,00:26:25.37,21,0,0,6,50,5,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,1,20,10,20,0,0,0,0,52,76,49,53,42,42,42,1526,1870,2016,1246,1246,1882,15,15,15,15,0,0,0,0,0,0,0,55,53,42,42,42,97122,45119,49990,0,2013,0,0,0,1465,1465,0,0,66,19,16,3,0,0,1936,1259,75,75,60,4,23,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,36,6829,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
1-06,16:00:21,NINTEN,Poliwrath,Rocket,6,Route 24,2,7:04.63,7:04,0h7m4s,0,0,0,21,0:27,8.297,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,1471,66,17,3,65,65,27,7,7113,Flareon, ,Water,Fighting,7334,Poliwrath7,Poliwrath,,00:06:56.33,00:07:04.63,00:27:23.08,21,0,0,7,4,63,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,0,20,10,18,0,0,0,0,52,76,49,53,42,42,42,1601,1975,2095,1326,1326,1992,15,15,15,15,0,0,0,0,0,0,0,55,53,42,42,42,100573,46102,52458,0,2013,0,0,0,1471,1471,0,0,66,20,17,3,0,0,2059,1335,75,75,63,4,24,0,0,0,0,0,6,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,38,7199,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
