date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-04,14:39:52,NINTEN,Mewtwo,Rival1-Lab,1,Pallet Town - Oak's Lab,1,38.05,38,0h0m38s,0,0,0,5,0:01,4.232,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,75,5,1,1,1,1,0,0,3000,Jolteon, ,Psychic,Psychic,253,Mewtwo 2,Mewtwo,Rival (Lab),00:00:33.82,00:00:38.05,00:01:57.48,5,0,0,0,38,5,CONFUSION,DISABLE,SWIFT,PSYCHIC,25,20,20,9,0,0,0,0,27,27,17,15,21,21,19,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,17,15,21,21,19,8996,4806,2234,0,1956,0,0,0,75,75,0,0,5,2,1,1,0,0,27,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,15,0,Jolteon
11-04,14:41:04,NINTEN,Mewtwo,Bug Catcher,3,Viridian Forest,1,1:50.17,1:50,0h1m50s,0,0,0,6,0:06,7.015,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,581,23,2,2,3,3,2,0,3175,Flareon, ,Psychic,Psychic,365,Mewtwo 2,Mewtwo,,00:01:43.16,00:01:50.17,00:06:42.45,6,0,0,1,50,17,CONFUSION,DISABLE,SWIFT,PSYCHIC,24,20,20,9,0,0,0,0,30,30,20,17,25,25,22,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-2,0,0,20,17,25,25,11,26093,18875,5262,0,1956,0,0,0,581,581,0,0,23,4,2,2,0,0,60,51,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:41:27,NINTEN,Mewtwo,Brock,1,Pewter City - Gym,2,2:13.29,2:13,0h2m13s,0,0,0,8,0:08,10.866,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,687,25,3,2,7,7,4,0,3275,Flareon, ,Psychic,Psychic,825,Mewtwo 2,Mewtwo,Brock,00:02:02.43,00:02:13.30,00:08:13.58,8,0,0,2,13,30,CONFUSION,DISABLE,SWIFT,PSYCHIC,22,20,20,7,0,0,0,0,31,37,25,22,32,32,28,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,25,22,32,32,28,31566,21287,8323,0,1956,0,0,0,687,687,0,0,25,5,3,2,0,0,130,112,6,6,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:41:50,NINTEN,Mewtwo,Bug Catcher,4,Route 3,3,2:35.92,2:35,0h2m35s,0,0,0,9,0:09,9.7,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,758,26,4,2,10,10,4,1,4463,Flareon, ,Psychic,Psychic,1160,Mewtwo 2,Mewtwo,,00:02:26.22,00:02:35.92,00:09:43.22,9,0,0,2,35,92,CONFUSION,DISABLE,SWIFT,PSYCHIC,21,20,20,5,0,0,0,0,35,41,27,24,35,35,31,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,30,24,35,35,31,36930,23361,11613,0,1956,0,0,0,758,758,0,0,26,6,4,2,0,0,294,201,6,6,10,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:42:00,NINTEN,Mewtwo,Youngster Ben,1,Route 3,2,2:46.28,2:46,0h2m46s,0,0,0,10,0:10,7.31,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,762,27,5,2,12,12,4,1,4563,Flareon, ,Psychic,Psychic,1438,Mewtwo 2,Mewtwo,,00:02:38.97,00:02:46.28,00:10:24.09,10,0,0,2,46,28,CONFUSION,DISABLE,SWIFT,PSYCHIC,20,20,20,4,0,0,0,0,38,44,30,26,39,39,34,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,33,26,39,39,34,39377,23585,13836,0,1956,0,0,0,762,762,0,0,27,7,5,2,0,0,378,260,6,6,12,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:42:15,NINTEN,Mewtwo,Bug Catcher,5,Route 3,4,3:00.82,3:00,0h3m0s,0,0,0,11,0:11,11.497,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,768,28,6,2,16,16,4,1,4728,Flareon, ,Psychic,Psychic,1913,Mewtwo 2,Mewtwo,,00:02:49.32,00:03:00.82,00:11:21.23,11,0,0,3,0,82,CONFUSION,DISABLE,SWIFT,PSYCHIC,16,20,20,4,0,0,0,0,42,48,33,28,42,42,37,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,37,28,42,42,37,42811,23810,17045,0,1956,0,0,0,768,768,0,0,28,8,6,2,0,0,627,372,6,6,16,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:42:26,NINTEN,Mewtwo,Bug Catcher,6,Route 3,2,3:11.45,3:11,0h3m11s,0,0,0,12,0:12,6.971,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,776,29,7,2,18,18,4,1,4818,Flareon, ,Psychic,Psychic,2206,Mewtwo 2,Mewtwo,,00:03:04.49,00:03:11.46,00:12:03.17,12,0,0,3,11,46,CONFUSION,DISABLE,SWIFT,PSYCHIC,16,20,20,2,0,0,0,0,45,51,35,31,46,46,40,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,39,31,46,46,40,45325,24152,19217,0,1956,0,0,0,776,776,0,0,29,9,7,2,0,0,734,437,6,6,18,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,0,0,0,0,0,0,0,15,0,Flareon
11-04,14:43:06,NINTEN,Mewtwo,Fossil Nerd,2,Mt Moon - 3,3,3:51.52,3:51,0h3m51s,0,0,0,13,0:14,9.85,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,1122,37,8,2,21,21,4,2,4928,Flareon, ,Psychic,Psychic,2993,Mewtwo 2,Mewtwo,,00:03:41.67,00:03:51.52,00:14:41.53,13,0,0,3,51,52,CONFUSION,DISABLE,SWIFT,PSYCHIC,14,20,20,1,0,0,0,0,49,55,38,33,49,49,43,805,756,979,560,560,852,15,15,15,15,0,0,0,0,0,0,0,42,33,49,49,43,54841,30933,21952,0,1956,0,0,0,1122,1122,0,0,37,10,8,2,0,0,901,546,6,6,21,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,1,0,0,0,0,0,0,15,0,Flareon
11-04,14:43:23,NINTEN,Mewtwo,Rocket,42,Mt Moon - 3,3,4:08.87,4:08,0h4m8s,0,0,0,14,0:15,9.781,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,1138,38,9,2,24,24,4,3,5228,Flareon, ,Psychic,Psychic,3728,Mewtwo 2,Mewtwo,,00:03:59.10,00:04:08.88,00:15:50.28,14,0,0,4,8,88,CONFUSION,DISABLE,SWIFT,PSYCHIC,12,20,20,0,0,0,0,0,52,58,40,35,53,53,46,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,45,35,53,53,46,58956,32330,24670,0,1956,0,0,0,1138,1138,0,0,38,11,9,2,0,0,1052,656,6,6,24,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,1,0,0,0,0,0,0,15,0,Flareon
11-04,14:43:48,NINTEN,Mewtwo,Pecking Lass,1,Cerulean City - Gym,1,4:34.29,4:34,0h4m34s,0,0,0,14,0:17,5.676,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,1286,44,10,2,26,26,5,3,5648,Flareon, ,Psychic,Psychic,4179,Mewtwo 2,Mewtwo,,00:04:28.62,00:04:34.30,00:17:30.44,14,0,0,4,34,30,CONFUSION,DISABLE,SWIFT,PSYCHIC,24,20,20,9,0,0,0,0,47,58,40,35,53,53,46,965,993,1213,750,750,1095,15,15,15,15,0,0,0,0,0,0,0,45,35,53,53,46,64972,36545,26471,0,1956,0,0,0,1286,1286,0,0,44,12,10,2,0,0,1103,705,17,17,26,1,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4023,0,0,0,0,1,0,0,0,0,0,0,15,0,Flareon
11-04,14:44:07,NINTEN,Mewtwo,Misty,1,Cerulean City - Gym,2,4:52.54,4:52,0h4m52s,0,0,0,16,0:18,14.282,DISABLE,CONFUSION,SWIFT,PSYCHIC,0,1287,45,11,2,31,31,9,3,6028,Flareon, ,Psychic,Psychic,5518,Mewtwo 2,Mewtwo,Misty,00:04:38.26,00:04:52.54,00:18:42.50,16,0,0,4,52,54,DISABLE,CONFUSION,SWIFT,PSYCHIC,20,24,20,4,0,0,0,0,6,66,46,40,60,60,52,1055,1113,1353,920,920,1295,15,15,15,15,0,0,0,0,-1,0,0,51,40,60,60,34,69298,37011,30331,0,1956,0,0,0,1287,1287,0,0,45,13,11,2,0,0,1236,805,66,66,31,1,8,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5362,0,0,0,0,1,0,0,0,0,0,0,15,0,Flareon
11-04,14:44:46,NINTEN,Mewtwo,Rival2-Nugget Bridge,3,Cerulean City,4,5:31.59,5:31,0h5m31s,0,0,0,17,0:21,14.102,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1391,50,12,2,36,36,10,3,8107,Flareon, ,Psychic,Psychic,6556,Mewtwo 2,Mewtwo,Rival (Nugget Bridge),00:05:17.50,00:05:31.60,00:21:16.48,17,0,0,5,31,60,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,22,20,19,9,0,0,0,0,69,69,49,42,63,63,55,1230,1359,1553,1071,1071,1532,15,15,15,15,-1,0,0,0,0,0,0,36,42,63,63,55,78536,41308,34289,983,1956,0,0,0,1391,1391,0,0,50,14,12,2,0,0,1481,976,66,66,35,1,9,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6400,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:44:59,NINTEN,Mewtwo,Bug Catcher,9,Route 24,2,5:45.33,5:45,0h5m45s,0,0,0,17,0:22,6.38,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1402,50,13,2,38,38,10,3,8702,Flareon, ,Psychic,Psychic,6871,Mewtwo 2,Mewtwo,,00:05:38.96,00:05:45.34,00:22:11.01,17,0,0,5,45,34,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,22,18,19,9,0,0,0,0,69,69,49,42,63,63,55,1315,1424,1618,1111,1111,1627,15,15,15,15,0,0,0,0,0,0,0,55,42,63,63,55,81789,42539,36311,983,1956,0,0,0,1402,1402,0,0,50,15,13,2,0,0,1624,1051,66,66,37,1,9,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6715,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:45:08,NINTEN,Mewtwo,Lass,8,Route 24,2,5:54.24,5:54,0h5m54s,0,0,0,17,0:22,6.059,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1406,52,14,2,40,40,10,3,8842,Flareon, ,Psychic,Psychic,7213,Mewtwo 2,Mewtwo,,00:05:48.19,00:05:54.25,00:22:46.02,17,0,0,5,54,25,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,20,18,19,9,0,0,0,0,69,69,49,42,63,63,55,1410,1516,1710,1186,1186,1724,15,15,15,15,0,0,0,0,0,0,0,55,42,63,63,55,83890,42715,38236,983,1956,0,0,0,1406,1406,0,0,52,16,14,2,0,0,1757,1129,66,66,39,1,9,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7057,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:45:20,NINTEN,Mewtwo,Youngster,4,Route 24,3,6:06.38,6:06,0h6m6s,0,0,0,18,0:23,9.334,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1410,55,15,2,43,43,10,3,9052,Flareon, ,Psychic,Psychic,7732,Mewtwo 2,Mewtwo,,00:05:57.04,00:06:06.38,00:23:33.46,18,0,0,6,6,38,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,19,16,19,9,0,0,0,0,73,73,51,44,67,67,59,1515,1677,1824,1291,1291,1906,15,15,15,15,0,0,0,0,0,0,0,57,44,67,67,59,86754,42899,40916,983,1956,0,0,0,1410,1410,0,0,55,17,15,2,0,0,1924,1236,66,66,42,1,9,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7576,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:45:29,NINTEN,Mewtwo,Lass,7,Route 24,2,6:15.24,6:15,0h6m15s,0,0,0,18,0:24,5.999,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1414,57,16,2,45,45,10,3,9262,Flareon, ,Psychic,Psychic,8120,Mewtwo 2,Mewtwo,,00:06:09.24,00:06:15.24,00:24:08.37,18,0,0,6,15,24,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,17,16,19,9,0,0,0,0,73,73,51,44,67,67,59,1610,1769,1916,1366,1366,2003,15,15,15,15,0,0,0,0,0,0,0,57,44,67,67,59,88845,43088,42818,983,1956,0,0,0,1414,1414,0,0,57,18,16,2,0,0,2056,1323,66,66,44,1,9,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7964,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:45:36,NINTEN,Mewtwo,Jr Trainer M,3,Route 24,1,6:22.05,6:22,0h6m22s,0,0,0,18,0:24,4.153,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1418,58,17,2,46,46,10,3,9502,Flareon, ,Psychic,Psychic,8405,Mewtwo 2,Mewtwo,,00:06:17.92,00:06:22.07,00:24:35.27,18,0,0,6,22,7,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,16,16,19,9,0,0,0,0,73,73,51,44,67,67,59,1650,1849,1951,1401,1401,2073,15,15,15,15,0,0,0,0,0,0,0,57,44,67,67,59,90455,43245,44271,983,1956,0,0,0,1418,1418,0,0,58,19,17,2,0,0,2144,1368,66,66,45,1,9,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8249,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:45:49,NINTEN,Mewtwo,Rocket,6,Route 24,2,6:35.22,6:35,0h6m35s,0,0,0,19,0:25,6.98,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1424,63,18,2,48,48,10,4,9862,Flareon, ,Psychic,Psychic,8775,Mewtwo 2,Mewtwo,,00:06:28.25,00:06:35.23,00:25:27.24,19,0,0,6,35,23,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,16,14,19,9,0,0,0,0,76,76,54,46,70,70,62,1725,1954,2030,1481,1481,2183,15,15,15,15,0,0,0,0,0,0,0,60,46,70,70,62,93572,44216,46417,983,1956,0,0,0,1424,1424,0,0,63,20,18,2,0,0,2227,1444,66,66,47,1,9,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8619,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:46:04,NINTEN,Mewtwo,Hiker,2,Route 25,2,6:50.41,6:50,0h6m50s,0,0,0,19,0:26,6.378,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1466,65,19,2,50,50,10,4,10312,Flareon, ,Psychic,Psychic,9333,Mewtwo 2,Mewtwo,,00:06:44.04,00:06:50.42,00:26:27.22,19,0,0,6,50,42,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,14,14,19,9,0,0,0,0,76,76,54,46,70,70,62,1835,2114,2180,1546,1546,2238,15,15,15,15,0,0,0,0,0,0,0,60,46,70,70,62,97170,45812,48419,983,1956,0,0,0,1466,1466,0,0,65,21,19,2,0,0,2398,1531,66,66,49,1,9,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9177,0,0,0,0,2,0,0,0,0,1,0,15,0,Flareon
11-04,14:46:18,NINTEN,Mewtwo,Lass,9,Route 25,2,7:04.34,7:04,0h7m4s,0,0,0,19,0:27,6.329,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,0,1488,68,20,2,52,52,10,5,10837,Flareon, ,Psychic,Psychic,9714,Mewtwo 2,Mewtwo,,00:06:58.01,00:07:04.34,00:27:22.21,19,0,0,7,4,34,CONFUSION,BUBBLEBEAM,SWIFT,PSYCHIC,12,14,19,9,0,0,0,0,76,76,54,46,70,70,62,1936,2218,2272,1626,1626,2329,15,15,15,15,0,0,0,0,0,0,0,60,46,70,70,62,100469,47134,50396,983,1956,0,0,0,1488,1488,0,0,68,22,20,2,0,0,2670,1615,66,66,51,1,9,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9558,0,0,0,0,3,0,0,0,0,1,0,15,0,Flareon
