ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Roselia3,Roselia,Rival (Lab),00:00:33.78,00:00:45.22,00:02:25.05,6,0,0,0,45,22,ABSORB,GROWTH,,,14,12,18,18,14,0,-1,2,2,0,0,0,14,7,36,36,14,10698,4713,3964,0,2021,0,0,0,71,71,0,0,1,2,1,1,0,0,21,21,15,15,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Roselia3,Roselia,Rival (Lab),00:00:34.97,00:00:46.38,00:02:29.55,6,0,0,0,46,38,ABSORB,GROWTH,,,14,12,18,18,14,0,-1,2,2,0,0,0,14,7,36,36,14,10974,5010,3957,0,2007,0,0,0,71,71,0,0,5,2,1,1,0,0,23,21,18,18,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Roselia3,Roselia,Brock,00:03:16.83,00:03:27.06,00:13:05.15,12,0,0,3,27,6,ABSORB,GROWTH,POISON STING,,23,20,32,32,24,0,0,1,1,0,0,0,23,20,48,48,24,49094,26884,20203,0,2007,0,0,0,773,773,0,0,38,7,4,3,0,0,241,174,70,70,17,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,2,10,0,1,1,1,0,3,0,Flareon
Roselia3,Roselia,Misty,00:07:28.98,00:07:42.69,00:29:55.58,21,0,0,7,42,69,MEGA DRAIN,GROWTH,POISON STING,ABSORB,38,32,54,54,40,0,0,1,1,0,0,0,42,32,81,81,40,109737,44780,62522,428,2007,0,0,0,1393,1393,0,0,73,17,14,3,0,0,1431,1029,159,159,70,8,45,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6907,0,0,0,0,3,10,0,1,1,3,0,3,0,Flareon
Roselia3,Roselia,Rival (Nugget Bridge),00:08:05.52,00:08:28.29,00:32:55.51,22,0,0,8,28,29,MEGA DRAIN,GROWTH,POISON STING,ABSORB,40,33,57,57,42,0,0,2,2,0,0,0,45,33,114,114,42,120530,49024,68538,961,2007,1,0,0,1495,1495,0,0,78,18,15,3,0,0,1667,1200,220,220,76,8,49,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7945,0,0,0,0,4,10,0,1,1,3,0,3,0,Flareon
Roselia3,Roselia,Oddish Lass,00:11:40.36,00:11:57.75,00:46:44.13,25,0,0,11,57,75,MEGA DRAIN,GROWTH,POISON STING,ABSORB,45,38,65,65,48,0,0,2,2,0,0,0,63,38,130,130,48,170232,58377,107849,1999,2007,2,0,0,1699,1699,0,0,122,28,25,3,0,0,3288,2099,364,364,114,23,83,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12646,0,0,0,0,5,10,0,1,1,3,0,3,0,Flareon
Roselia3,Roselia,Rocket,00:12:25.24,00:12:37.54,00:49:21.40,26,0,0,12,37,54,MEGA DRAIN,GROWTH,POISON STING,ABSORB,47,40,67,67,49,0,0,3,3,0,0,0,52,40,167,167,49,179679,63876,111249,2547,2007,3,0,0,1837,1837,0,0,125,29,26,3,0,0,3467,2202,393,393,116,23,86,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,13335,0,0,0,0,6,10,0,1,1,3,0,3,0,Flareon
Roselia3,Roselia,Rival (SS Anne),00:14:44.13,00:14:58.28,00:58:37.14,27,0,0,14,58,28,MEGA DRAIN,GROWTH,BODY SLAM,ABSORB,49,41,70,70,52,0,-1,0,0,0,0,0,61,27,70,70,52,213013,76066,128583,6357,2007,6,0,0,2247,2247,0,0,156,34,31,3,0,0,4299,2747,499,499,132,24,100,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,16826,0,0,0,0,11,14,0,1,1,4,0,3,0,Flareon
Roselia3,Roselia,Lt. Surge,00:15:41.81,00:15:54.50,01:02:19.20,28,0,0,15,54,50,MEGA DRAIN,GROWTH,BODY SLAM,ABSORB,51,43,73,73,54,-1,0,2,2,0,0,0,37,43,146,146,54,226339,82876,132148,9308,2007,7,0,0,2426,2426,0,0,170,35,32,3,0,0,4389,2823,573,573,135,26,103,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,17558,0,0,0,0,11,14,0,1,1,6,0,3,0,Flareon
Roselia3,Roselia,RTG1 - Wrapping Lass,00:16:40.20,00:17:03.24,01:06:50.32,28,0,0,17,3,24,MEGA DRAIN,GROWTH,ABSORB,BODY SLAM,51,43,73,73,54,0,0,2,2,0,0,0,72,60,146,146,54,242611,90753,138212,11639,2007,8,0,0,2614,2564,50,0,186,36,33,3,0,0,4673,3013,585,585,140,26,106,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,18806,0,0,0,0,11,14,0,1,1,6,0,3,0,Flareon
