ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Butterfree6,Butterfree,Rival (Lab),00:00:34.37,00:00:43.29,00:02:17.37,6,0,0,0,43,29,CONFUSION,,,,12,12,16,16,15,0,0,0,0,0,0,0,12,12,16,16,15,10236,4864,3365,0,2007,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,13,13,4,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
Butterfree6,Butterfree,Brock,00:03:34.19,00:03:46.11,00:14:19.10,12,0,0,3,46,11,CONFUSION,,,,20,21,28,28,26,0,0,0,0,0,0,0,20,21,28,28,26,53529,26588,24385,549,2007,0,0,0,777,777,0,0,37,10,7,3,0,0,407,335,61,61,35,5,16,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,13,1616,0,0,0,0,1,13,0,1,1,0,0,6,0,Flareon
Butterfree6,Butterfree,Rival (Nugget Bridge),00:07:04.12,00:07:33.49,00:29:17.16,18,0,0,7,33,49,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,28,30,40,40,37,0,-1,0,0,0,0,0,31,19,40,40,37,107415,46593,56454,2361,2007,2,0,0,1470,1470,0,0,52,18,15,3,0,0,1427,1109,150,150,86,10,32,0,0,0,0,0,11,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,36,6006,0,0,0,0,3,13,0,1,1,3,0,6,0,Flareon
Butterfree6,Butterfree,Oddish Lass,00:09:48.23,00:09:57.17,00:38:43.36,21,0,0,9,57,17,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,32,35,47,47,43,0,0,0,0,0,0,0,36,35,47,47,43,141395,56222,79674,3492,2007,2,0,0,1658,1658,0,0,96,28,25,3,0,0,2642,1925,197,197,115,10,42,0,0,0,0,0,19,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,57,10106,0,0,0,0,4,13,0,1,1,4,0,6,0,Flareon
Butterfree6,Butterfree,Misty,00:11:31.25,00:12:10.61,00:44:52.52,22,1,0,12,10,61,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,34,36,49,49,45,0,0,0,0,-1,0,0,42,36,49,49,29,163557,64227,92642,4523,2165,3,1,0,1844,1844,0,0,109,30,27,3,0,0,2798,2074,278,278,137,11,48,0,0,0,0,0,21,0,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,4,0,0,0,0,0,60,11896,0,0,0,0,5,13,0,1,1,4,0,6,1,Flareon
Butterfree6,Butterfree,Rocket,00:12:30.77,00:12:57.49,00:47:58.27,23,1,0,12,57,49,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,35,38,51,51,47,0,0,0,0,0,0,0,39,38,51,51,47,174692,67851,99627,5049,2165,4,1,0,1933,1933,0,0,116,31,28,3,0,0,2957,2177,311,311,149,12,54,0,0,0,0,0,21,0,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,4,0,0,0,0,0,62,12585,0,0,0,0,5,13,0,1,1,4,0,6,1,Flareon
Butterfree6,Butterfree,Rival (SS Anne),00:15:53.74,00:16:09.90,00:57:34.26,25,2,0,16,9,90,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,38,41,55,55,51,0,0,0,0,0,-1,0,47,41,55,55,51,209257,80602,115357,10951,2347,7,2,0,2353,2353,0,0,154,36,33,3,0,0,3751,2755,422,422,175,14,67,0,0,0,0,0,27,0,5,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,10,4,0,0,0,0,0,75,16619,0,0,0,0,10,21,0,1,1,4,0,6,2,Flareon
Butterfree6,Butterfree,Lt. Surge,00:16:55.62,00:17:15.05,01:01:51.59,25,2,0,17,15,5,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,38,41,55,55,51,0,0,0,0,0,0,0,42,41,55,55,51,224710,87439,120513,14411,2347,8,2,0,2534,2534,0,0,168,37,34,3,0,0,3831,2831,494,494,183,15,68,0,0,0,0,0,28,0,5,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,10,4,0,0,0,0,0,76,17351,0,0,0,0,10,21,0,1,1,6,0,6,2,Flareon
Butterfree6,Butterfree,RTG1 - Wrapping Lass,00:17:59.57,00:18:20.26,01:06:09.03,26,2,0,18,20,26,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,40,42,58,58,53,0,0,0,0,0,0,0,45,47,58,58,3,240134,95326,126023,16438,2347,8,2,0,2722,2672,50,0,181,38,35,3,0,0,4136,3023,497,497,190,15,72,0,0,0,0,0,29,0,5,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,0,10,4,0,0,0,0,0,80,18599,0,0,0,0,10,21,0,1,1,6,0,6,2,Flareon
Butterfree6,Butterfree,RTG4 - Status Jr Trainer,00:20:12.91,00:20:20.34,01:14:03.57,27,2,0,20,20,34,CONFUSION,SUPERSONIC,STUN SPORE,SLEEP POWDER,41,44,60,60,55,0,0,0,0,0,0,0,46,49,60,60,55,268628,102368,142106,21807,2347,9,2,0,3024,2740,284,0,203,42,39,3,0,0,4764,3511,598,598,215,17,83,0,0,0,0,0,32,0,6,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,0,15,7,0,0,0,0,0,88,21479,0,0,0,0,10,21,0,1,1,6,0,6,2,Flareon
Butterfree6,Butterfree,RTG6 - Finisher,00:21:07.83,00:21:20.50,01:18:01.54,28,2,0,21,20,50,CONFUSION,SUPERSONIC,GUST,SLEEP POWDER,43,46,62,62,57,0,0,0,0,0,0,0,48,51,62,62,57,282905,107088,150350,23120,2347,10,2,0,3190,2740,450,0,231,44,41,3,0,0,5239,3819,628,628,227,17,87,0,0,0,0,0,34,0,6,0,15,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,3,0,15,7,0,0,0,0,0,94,23719,0,0,0,0,10,21,0,1,1,7,0,6,2,Flareon
Butterfree6,Butterfree,Rival (Pokemon Tower),00:26:09.22,00:26:27.37,01:38:12.02,33,2,0,26,27,37,PSYCHIC,CONFUSION,SWIFT,SLEEP POWDER,51,54,76,76,67,0,0,0,0,0,0,0,57,60,76,76,67,355513,145311,175959,31896,2347,10,2,0,4199,3643,556,0,328,53,50,3,0,0,7437,5391,730,730,253,18,97,0,0,0,0,0,40,0,7,0,16,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,3,0,16,7,0,0,0,0,0,116,37672,0,0,0,0,18,37,6,1,1,10,0,6,2,Flareon
Butterfree6,Butterfree,Erika,00:31:04.65,00:31:19.03,01:57:22.54,38,2,0,31,19,3,PSYCHIC,PSYBEAM,SWIFT,SLEEP POWDER,60,62,88,88,77,0,0,0,0,0,0,0,67,69,88,88,77,424565,176056,206140,40022,2347,11,2,0,5256,4134,1122,0,420,66,61,5,1,0,10766,7294,863,863,285,18,102,0,0,0,0,0,45,0,7,0,16,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,3,0,16,7,0,0,0,0,0,143,58120,0,0,0,0,27,37,6,1,1,12,0,6,2,Flareon
