date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-14,14:28:28,NINTEN,Ho-oh,Rival1-Lab,1,Pallet Town - Oak's Lab,1,37.76,37,0h0m37s,0,0,0,5,0:01,3.861,SACRED FIRE,GUST,,,0,71,2,1,1,1,1,0,0,3000,Jolteon, ,Fire,Flying,253,Ho-oh3,Ho-oh,Rival (Lab),00:00:33.90,00:00:37.76,00:01:56.01,5,0,0,0,37,76,SACRED FIRE,GUST,,,4,35,0,0,0,0,0,0,27,27,19,15,21,21,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,19,15,21,21,15,8925,4772,2161,0,1992,0,0,0,71,71,0,0,2,2,1,1,0,0,22,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
11-14,14:30:06,NINTEN,Ho-oh,Bug Catcher,3,Viridian Forest,1,2:15.82,2:15,0h2m15s,0,0,0,6,0:08,4.092,SACRED FIRE,GUST,,,0,646,27,2,4,5,5,2,3,75,Flareon, ,Fire,Flying,396,Ho-oh3,Ho-oh,,00:02:11.73,00:02:15.82,00:08:23.22,6,0,0,2,15,82,SACRED FIRE,GUST,,,4,32,0,0,0,0,0,0,24,30,22,17,25,25,17,140,130,125,120,120,156,15,15,15,15,0,0,0,0,0,0,0,22,17,25,25,17,32166,22157,8017,0,1992,0,0,0,646,646,0,0,27,6,2,4,0,0,144,82,6,6,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,240,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:30:46,NINTEN,Ho-oh,Brock,1,Pewter City - Gym,2,2:55.87,2:55,0h2m55s,0,0,0,8,0:11,22.167,SACRED FIRE,GUST,,,0,770,35,3,4,15,15,8,3,175,Flareon, ,Fire,Flying,856,Ho-oh3,Ho-oh,Brock,00:02:33.70,00:02:55.87,00:11:01.45,8,0,0,2,55,87,SACRED FIRE,GUST,,,0,30,0,0,0,0,0,0,29,37,28,22,32,32,22,215,255,385,180,180,246,15,15,15,15,0,0,0,0,0,0,0,28,22,32,32,22,41669,25891,13786,0,1992,0,0,0,770,770,0,0,35,7,3,4,0,0,209,143,14,14,15,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,700,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:31:15,NINTEN,Ho-oh,Bug Catcher,4,Route 3,3,3:24.57,3:24,0h3m24s,0,0,0,9,0:12,9.175,SACRED FIRE,GUST,,,0,881,36,4,4,18,18,8,4,1363,Flareon, ,Fire,Flying,1191,Ho-oh3,Ho-oh,,00:03:15.40,00:03:24.57,00:12:55.06,9,0,0,3,24,57,SACRED FIRE,GUST,,,2,35,0,0,0,0,0,0,41,41,31,24,35,35,24,345,350,485,240,240,386,15,15,15,15,0,0,0,0,0,0,0,34,24,35,35,24,48470,29519,16959,0,1992,0,0,0,881,881,0,0,36,8,4,4,0,0,509,232,14,14,18,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1035,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:31:25,NINTEN,Ho-oh,Youngster Ben,1,Route 3,2,3:34.50,3:34,0h3m34s,0,0,0,10,0:13,6.712,SACRED FIRE,GUST,,,0,885,36,5,4,20,20,8,4,1463,Flareon, ,Fire,Flying,1469,Ho-oh3,Ho-oh,,00:03:27.78,00:03:34.50,00:13:34.11,10,0,0,3,34,50,SACRED FIRE,GUST,,,0,35,0,0,0,0,0,0,44,44,34,26,39,39,26,410,466,564,305,305,513,15,15,15,15,0,0,0,0,0,0,0,38,26,39,39,26,50815,29785,19038,0,1992,0,0,0,885,885,0,0,36,9,5,4,0,0,591,291,14,14,20,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1313,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:31:48,NINTEN,Ho-oh,Lass,2,Route 3,2,3:58.12,3:58,0h3m58s,0,0,0,11,0:15,7.409,SACRED FIRE,GUST,,,0,1011,39,6,4,22,22,9,4,1628,Flareon, ,Fire,Flying,1717,Ho-oh3,Ho-oh,,00:03:50.71,00:03:58.12,00:15:07.28,11,0,0,3,58,12,SACRED FIRE,GUST,,,3,35,0,0,0,0,0,0,39,48,37,28,42,42,28,486,579,639,370,370,635,15,15,15,15,0,0,0,0,0,0,0,41,28,42,42,28,56412,33144,21276,0,1992,0,0,0,1011,1011,0,0,39,10,6,4,0,0,700,348,23,23,22,1,7,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1561,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:32:02,NINTEN,Ho-oh,Bug Catcher,6,Route 3,2,4:11.43,4:11,0h4m11s,0,0,0,11,0:15,6.39,SACRED FIRE,GUST,,,0,1067,41,7,4,24,24,9,4,1778,Flareon, ,Fire,Flying,2010,Ho-oh3,Ho-oh,,00:04:05.04,00:04:11.43,00:15:59.57,11,0,0,4,11,43,SACRED FIRE,GUST,,,1,35,0,0,0,0,0,0,39,48,37,28,42,42,28,581,629,729,415,415,710,15,15,15,15,0,0,0,0,0,0,0,41,28,42,42,28,59561,34315,23254,0,1992,0,0,0,1067,1067,0,0,41,11,7,4,0,0,954,413,23,23,24,1,7,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1854,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
11-14,14:32:52,NINTEN,Ho-oh,Fossil Nerd,2,Mt Moon - 3,3,5:01.48,5:01,0h5m1s,0,0,0,13,0:19,14.319,SACRED FIRE,GUST,,,0,1431,58,8,4,29,29,11,5,1888,Flareon, ,Fire,Flying,2797,Ho-oh3,Ho-oh,,00:04:47.16,00:05:01.48,00:19:18.02,13,0,0,5,1,48,SACRED FIRE,GUST,,,3,32,0,0,0,0,0,0,53,55,43,33,49,49,33,741,804,924,570,570,870,15,15,15,15,0,-2,0,0,0,0,0,48,16,49,49,33,71446,42398,27056,0,1992,0,0,0,1431,1431,0,0,58,12,8,4,0,0,1098,522,25,25,29,1,9,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2641,0,0,0,0,3,13,0,1,1,0,0,3,0,Flareon
11-14,14:33:08,NINTEN,Ho-oh,Rocket,42,Mt Moon - 3,3,5:17.90,5:17,0h5m17s,0,0,0,14,0:20,8.877,SACRED FIRE,GUST,,,0,1447,59,9,4,32,32,11,6,2188,Flareon, ,Fire,Flying,3532,Ho-oh3,Ho-oh,,00:05:09.02,00:05:17.90,00:20:22.52,14,0,0,5,17,90,SACRED FIRE,GUST,,,0,32,0,0,0,0,0,0,56,58,46,35,53,53,35,856,974,1098,710,710,1050,15,15,15,15,0,0,0,0,0,0,0,51,35,53,53,35,75336,43784,29560,0,1992,0,0,0,1447,1447,0,0,59,13,9,4,0,0,1248,632,25,25,32,1,9,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3376,0,0,0,0,3,13,0,1,1,0,0,3,0,Flareon
11-14,14:33:46,NINTEN,Ho-oh,Rival2-Nugget Bridge,3,Cerulean City,4,5:55.51,5:55,0h5m55s,0,0,0,15,0:22,12.125,SACRED FIRE,GUST,,,0,1635,65,10,4,37,37,12,6,2608,Flareon, ,Fire,Flying,4570,Ho-oh3,Ho-oh,Rival (Nugget Bridge),00:05:43.38,00:05:55.51,00:22:51.02,15,0,0,5,55,51,SACRED FIRE,GUST,,,0,35,0,0,0,0,0,0,62,62,49,37,56,56,37,1031,1220,1298,861,861,1287,15,15,15,15,0,-1,0,0,0,0,0,55,24,56,56,37,84226,49353,32881,0,1992,0,0,0,1635,1635,0,0,65,14,10,4,0,0,1554,803,25,25,36,2,10,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4414,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:34:08,NINTEN,Ho-oh,Bug Catcher,9,Route 24,2,6:17.78,6:17,0h6m17s,0,0,0,15,0:24,6.429,SACRED FIRE,GUST,,,0,1708,84,11,4,39,39,12,6,3203,Flareon, ,Fire,Flying,4885,Ho-oh3,Ho-oh,,00:06:11.35,00:06:17.78,00:24:18.58,15,0,0,6,17,78,SACRED FIRE,GUST,,,3,35,0,0,0,0,0,0,62,62,49,37,56,56,37,1116,1285,1363,901,901,1382,15,15,15,15,0,0,0,0,0,0,0,55,37,56,56,37,89502,52594,34916,0,1992,0,0,0,1708,1708,0,0,84,15,11,4,0,0,2125,878,25,25,38,2,10,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4729,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:34:17,NINTEN,Ho-oh,Lass,8,Route 24,2,6:27.11,6:27,0h6m27s,0,0,0,16,0:24,6.545,SACRED FIRE,GUST,,,0,1712,86,12,4,41,41,12,6,3343,Flareon, ,Fire,Flying,5227,Ho-oh3,Ho-oh,,00:06:20.56,00:06:27.11,00:24:55.40,16,0,0,6,27,11,SACRED FIRE,GUST,,,1,35,0,0,0,0,0,0,66,66,52,40,60,60,40,1211,1377,1455,976,976,1479,15,15,15,15,0,0,0,0,0,0,0,58,40,60,60,40,91704,52755,36957,0,1992,0,0,0,1712,1712,0,0,86,16,12,4,0,0,2260,956,25,25,40,2,10,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5071,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:34:35,NINTEN,Ho-oh,Youngster,4,Route 24,3,6:44.73,6:44,0h6m44s,0,0,0,16,0:26,14.824,SACRED FIRE,GUST,,,0,1716,93,13,4,49,46,14,6,3553,Flareon, ,Fire,Flying,5746,Ho-oh3,Ho-oh,,00:06:29.91,00:06:44.73,00:26:05.15,16,0,0,6,44,73,SACRED FIRE,GUST,,,0,31,0,0,0,0,0,0,58,66,52,40,60,60,40,1316,1538,1569,1081,1081,1661,15,15,15,15,0,0,0,0,0,0,0,58,40,60,60,40,95879,52939,40948,0,1992,0,0,0,1716,1716,0,0,93,17,13,4,0,0,2479,1063,33,33,45,3,11,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5590,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:34:56,NINTEN,Ho-oh,Lass,7,Route 24,2,7:05.55,7:05,0h7m5s,0,0,0,16,0:27,6.843,SACRED FIRE,GUST,,,0,1818,99,14,4,51,48,15,6,3763,Flareon, ,Fire,Flying,6134,Ho-oh3,Ho-oh,,00:06:58.71,00:07:05.55,00:27:27.25,16,0,0,7,5,55,SACRED FIRE,GUST,,,3,35,0,0,0,0,0,0,60,66,52,40,60,60,40,1411,1630,1661,1156,1156,1758,15,15,15,15,0,0,0,0,0,0,0,58,40,60,60,40,100809,55765,43052,0,1992,0,0,0,1818,1818,0,0,99,18,14,4,0,0,2633,1150,39,39,47,3,12,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5978,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:35:03,NINTEN,Ho-oh,Jr Trainer M,3,Route 24,1,7:12.94,7:12,0h7m12s,0,0,0,17,0:27,4.87,SACRED FIRE,GUST,,,0,1820,99,15,4,52,49,15,6,4003,Flareon, ,Fire,Flying,6419,Ho-oh3,Ho-oh,,00:07:08.07,00:07:12.94,00:27:56.28,17,0,0,7,12,94,SACRED FIRE,GUST,,,2,35,0,0,0,0,0,0,63,69,56,42,63,63,42,1451,1710,1696,1191,1191,1828,15,15,15,15,0,0,0,0,0,0,0,63,42,63,63,42,102552,55885,44675,0,1992,0,0,0,1820,1820,0,0,99,19,15,4,0,0,2760,1195,39,39,48,3,12,0,0,0,0,0,9,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6263,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:35:20,NINTEN,Ho-oh,Rocket,6,Route 24,2,7:29.46,7:29,0h7m29s,0,0,0,17,0:29,10.02,SACRED FIRE,GUST,,,0,1826,123,16,4,56,53,17,7,4363,Flareon, ,Fire,Flying,6789,Ho-oh3,Ho-oh,,00:07:19.44,00:07:29.46,00:29:01.44,17,0,0,7,29,46,SACRED FIRE,GUST,,,2,31,0,0,0,0,0,0,54,69,56,42,63,63,42,1526,1815,1775,1271,1271,1938,15,15,15,15,0,0,0,0,0,0,0,63,42,63,63,42,106468,56925,47551,0,1992,0,0,0,1826,1826,0,0,123,20,16,4,0,0,2843,1271,48,48,52,3,14,0,0,0,0,0,9,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6633,0,0,0,0,4,13,0,1,1,0,0,3,0,Flareon
11-14,14:35:40,NINTEN,Ho-oh,Hiker,2,Route 25,2,7:50.19,7:50,0h7m50s,0,0,0,18,0:30,11.093,SACRED FIRE,GUST,,,0,1870,126,17,4,60,57,19,8,4813,Flareon, ,Fire,Flying,7347,Ho-oh3,Ho-oh,,00:07:39.09,00:07:50.19,00:30:23.41,18,0,0,7,50,19,SACRED FIRE,GUST,,,1,28,0,0,0,0,0,0,38,73,59,44,67,67,44,1636,1975,1925,1336,1336,1993,15,15,15,15,0,0,0,0,0,0,0,66,44,67,67,44,111385,58716,50677,0,1992,0,0,0,1870,1870,0,0,126,21,17,4,0,0,2942,1358,68,68,56,3,16,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7191,0,0,0,0,5,13,0,1,1,0,0,3,0,Flareon
11-14,14:36:03,NINTEN,Ho-oh,Lass,9,Route 25,2,8:13.18,8:13,0h8m13s,0,0,0,18,0:31,8.275,SACRED FIRE,GUST,THUNDER WAVE,,0,1890,127,18,4,63,60,20,8,5338,Flareon, ,Fire,Flying,7728,Ho-oh3,Ho-oh,,00:08:04.90,00:08:13.18,00:31:54.11,18,0,0,8,13,18,SACRED FIRE,GUST,THUNDER WAVE,,0,26,20,0,0,0,0,0,67,73,59,44,67,67,44,1737,2079,2017,1416,1416,2084,15,15,15,15,0,0,0,0,0,0,0,66,44,67,67,44,116815,59973,53123,1727,1992,0,0,0,1890,1890,0,0,127,22,18,4,0,0,3083,1442,74,74,59,3,17,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7572,0,0,0,0,6,13,0,1,1,1,0,3,0,Flareon
11-14,14:36:17,NINTEN,Ho-oh,Jr Trainer M,2,Route 25,2,8:26.42,8:26,0h8m26s,0,0,0,18,0:32,6.868,SACRED FIRE,GUST,THUNDER WAVE,,0,1902,129,19,4,65,62,21,7,5563,Flareon, ,Fire,Flying,8085,Ho-oh3,Ho-oh,,00:08:19.55,00:08:26.42,00:32:46.16,18,0,0,8,26,42,SACRED FIRE,GUST,THUNDER WAVE,,3,35,20,0,0,0,0,0,58,73,59,44,67,67,44,1802,2195,2096,1481,1481,2211,15,15,15,15,0,0,0,0,0,0,0,66,44,67,67,44,119940,60465,55217,2266,1992,0,0,0,1902,1902,0,0,129,23,19,4,0,0,3308,1512,83,83,61,3,18,0,0,0,0,0,9,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7929,0,0,0,0,6,13,0,1,1,1,0,3,0,Flareon
11-14,14:36:30,NINTEN,Ho-oh,Oddish Lass,10,Route 25,3,8:40.28,8:40,0h8m40s,0,0,0,19,0:33,9.76,SACRED FIRE,GUST,THUNDER WAVE,,0,1917,129,20,4,68,65,22,7,5843,Flareon, ,Fire,Flying,8670,Ho-oh3,Ho-oh,Oddish Lass,00:08:30.52,00:08:40.28,00:33:40.53,19,0,0,8,40,28,SACRED FIRE,GUST,THUNDER WAVE,,0,35,20,0,0,0,0,0,57,77,62,47,71,71,47,1932,2340,2246,1666,1666,2327,15,15,15,15,0,0,0,0,0,0,0,69,47,71,71,47,123217,60950,58009,2266,1992,0,0,0,1917,1917,0,0,129,24,20,4,0,0,3762,1619,88,88,64,3,19,0,0,0,0,0,10,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8514,0,0,0,0,6,13,0,1,1,1,0,3,0,Flareon
11-14,14:37:11,NINTEN,Ho-oh,Cerulean Rocket,5,Cerulean City,2,9:20.39,9:20,0h9m20s,0,0,0,19,0:36,6.358,SACRED FIRE,GUST,THUNDER WAVE,,0,2112,140,21,4,70,67,22,9,6038,Flareon, ,Fire,Flying,9359,Ho-oh3,Ho-oh,Rocket,00:09:14.04,00:09:20.39,00:36:19.23,19,0,0,9,20,39,SACRED FIRE,GUST,THUNDER WAVE,,3,35,20,0,0,0,0,0,77,77,62,47,71,71,47,2062,2468,2341,1791,1791,2404,15,15,15,15,0,0,0,0,0,0,0,69,47,71,71,47,132727,68477,59992,2266,1992,0,0,0,2112,2112,0,0,140,25,21,4,0,0,3937,1722,88,88,66,3,19,0,0,0,0,0,11,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9203,0,0,0,0,7,13,0,1,1,1,0,3,0,Flareon
11-14,14:37:37,NINTEN,Ho-oh,Sandy,3,Route 6,3,9:46.37,9:46,0h9m46s,0,0,0,19,0:38,9.259,SACRED FIRE,GUST,THUNDER WAVE,,0,2258,144,22,4,73,70,24,11,6548,Flareon, ,Fire,Flying,9920,Ho-oh3,Ho-oh,,00:09:37.11,00:09:46.37,00:38:01.49,19,0,0,9,46,37,SACRED FIRE,GUST,THUNDER WAVE,,0,35,20,0,0,0,0,0,67,77,62,47,71,71,47,2182,2603,2461,1896,1896,2572,15,15,15,15,0,0,0,0,0,0,0,69,47,71,71,47,138873,71916,62699,2266,1992,0,0,0,2258,2258,0,0,144,26,22,4,0,0,4229,1845,98,98,69,3,21,0,0,0,0,0,11,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9764,0,0,0,0,8,13,0,1,1,1,0,3,0,Flareon
