date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-26,17:36:09,NINTEN,Kingler,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.85,39,0h0m39s,0,0,0,6,0:02,7.079,VICEGRIP,LEER,BUBBLE,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Water,Water,222,Kingler 1,Kingler,Rival (Lab),00:00:32.78,00:00:39.85,00:02:05.27,6,0,0,0,39,85,VICEGRIP,LEER,BUBBLE,,28,30,30,0,0,0,0,0,21,24,22,20,12,12,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,22,20,12,12,15,9431,4572,2927,0,1932,0,0,0,71,71,0,0,2,2,1,1,0,0,21,21,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
7-26,17:37:57,NINTEN,Kingler,Bug Catcher,3,Viridian Forest,1,2:27.62,2:27,0h2m27s,0,0,0,6,0:09,10.243,VICEGRIP,LEER,BUBBLE,,0,587,25,2,12,6,6,5,1,3175,Flareon, ,Water,Water,334,Kingler 1,Kingler,,00:02:17.39,00:02:27.62,00:09:09.57,6,0,0,2,27,62,VICEGRIP,LEER,BUBBLE,,27,29,30,0,0,0,0,0,18,24,22,20,12,12,15,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-2,0,0,22,20,12,12,7,34901,18993,13976,0,1932,0,0,0,587,587,0,0,25,14,2,12,10,0,57,51,9,9,6,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
7-26,17:38:30,NINTEN,Kingler,Brock,1,Pewter City - Gym,2,3:00.36,3:00,0h3m0s,0,0,0,9,0:11,13.845,VICEGRIP,LEER,BUBBLE,,1,695,29,3,13,12,10,9,1,3275,Flareon, ,Water,Water,794,Kingler 1,Kingler,Brock,00:02:46.51,00:03:00.36,00:11:18.58,9,0,0,3,0,36,VICEGRIP,LEER,BUBBLE,,27,29,26,0,0,0,0,0,16,31,31,28,16,16,21,175,210,345,145,145,190,15,15,15,15,0,-2,0,0,0,0,0,31,14,16,16,21,42643,21519,18662,530,1932,1,0,0,695,695,0,0,29,16,3,13,11,0,137,112,18,18,10,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,3,0,Flareon
7-26,17:39:07,NINTEN,Kingler,Bug Catcher,4,Route 3,3,3:37.64,3:37,0h3m37s,0,0,0,10,0:13,16.928,VICEGRIP,LEER,BUBBLE,,1,777,37,4,13,19,17,15,4,2263,Flareon, ,Water,Water,1129,Kingler 1,Kingler,,00:03:20.72,00:03:37.64,00:13:46.22,10,0,0,3,37,64,VICEGRIP,LEER,BUBBLE,,20,29,26,0,0,0,0,0,13,34,34,31,18,18,23,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-2,0,0,38,31,18,18,11,51486,25345,23679,530,1932,1,0,0,777,777,0,0,37,17,4,13,11,0,251,201,24,24,17,1,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,10,0,0,0,0,0,3,0,Flareon
7-26,17:39:24,NINTEN,Kingler,Youngster Ben,1,Route 3,2,3:54.77,3:54,0h3m54s,0,0,0,11,0:14,11.275,VICEGRIP,LEER,BUBBLE,,1,781,38,5,13,23,21,18,4,2363,Flareon, ,Water,Water,1407,Kingler 1,Kingler,,00:03:43.49,00:03:54.77,00:14:53.40,11,0,0,3,54,77,VICEGRIP,LEER,BUBBLE,,16,29,26,0,0,0,0,0,22,36,37,34,19,19,25,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,41,34,19,19,25,55524,25590,26870,1132,1932,1,0,0,781,781,0,0,38,18,5,13,11,0,316,260,37,37,21,1,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,10,0,0,0,0,0,3,0,Flareon
7-26,17:39:38,NINTEN,Kingler,Lass,2,Route 3,2,4:08.77,4:08,0h4m8s,0,0,0,11,0:15,9.589,VICEGRIP,LEER,BUBBLE,,1,789,50,6,13,27,25,20,4,2528,Flareon, ,Water,Water,1655,Kingler 1,Kingler,,00:03:59.18,00:04:08.77,00:15:48.53,11,0,0,4,8,77,VICEGRIP,LEER,BUBBLE,,12,29,26,0,0,0,0,0,22,36,37,34,19,19,25,446,534,599,335,335,579,15,15,15,15,0,-2,0,0,0,0,0,51,17,19,19,25,58837,26129,29644,1132,1932,1,0,0,789,789,0,0,50,19,6,13,11,0,405,317,37,37,25,1,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,10,0,0,0,0,0,3,0,Flareon
7-26,17:39:57,NINTEN,Kingler,Bug Catcher,6,Route 3,2,4:27.93,4:27,0h4m27s,0,0,0,12,0:17,12.038,VICEGRIP,LEER,BUBBLE,,1,849,53,7,13,32,30,23,4,2678,Flareon, ,Water,Water,1948,Kingler 1,Kingler,,00:04:15.90,00:04:27.93,00:17:04.30,12,0,0,4,27,93,VICEGRIP,LEER,BUBBLE,,7,29,26,0,0,0,0,0,22,39,40,36,21,21,27,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,45,36,21,21,27,63374,27348,32962,1132,1932,1,0,0,849,849,0,0,53,20,7,13,11,0,479,382,40,40,30,1,19,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,10,0,0,0,0,0,3,0,Flareon
7-26,17:41:17,NINTEN,Kingler,Hiker,1,Mt Moon - 1,3,5:47.64,5:47,0h5m47s,0,0,0,13,0:22,10.656,VICEGRIP,LEER,BUBBLE,WATER GUN,1,1116,68,8,25,35,33,23,5,2788,Flareon, ,Water,Water,2545,Kingler 1,Kingler,,00:05:36.98,00:05:47.64,00:22:17.59,13,0,0,5,47,64,VICEGRIP,LEER,BUBBLE,WATER GUN,30,30,30,22,0,0,0,0,41,41,43,39,22,22,29,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,48,39,22,22,29,82183,33758,44721,1772,1932,1,0,0,1116,1116,0,0,68,33,8,25,23,0,657,468,40,40,33,1,19,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2420,0,0,0,0,3,10,0,0,0,1,0,3,0,Flareon
7-26,17:41:46,NINTEN,Kingler,Fossil Nerd,2,Mt Moon - 3,3,6:16.89,6:16,0h6m16s,0,0,0,14,0:24,16.742,VICEGRIP,LEER,BUBBLE,WATER GUN,1,1239,74,9,25,42,40,27,5,3138,Flareon, ,Water,Water,3332,Kingler 1,Kingler,,00:06:00.15,00:06:16.89,00:24:13.34,14,0,0,6,16,89,VICEGRIP,LEER,BUBBLE,WATER GUN,23,30,30,22,0,0,0,0,30,44,46,42,23,23,31,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,57,21,23,23,31,89118,36316,49098,1772,1932,1,0,0,1239,1239,0,0,74,34,9,25,23,0,797,577,54,54,40,1,23,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3207,0,0,0,0,3,10,0,0,0,1,0,3,0,Flareon
7-26,17:42:12,NINTEN,Kingler,Rocket,42,Mt Moon - 3,3,6:42.93,6:42,0h6m42s,0,0,0,15,0:25,18.469,VICEGRIP,LEER,BUBBLE,WATER GUN,1,1255,77,10,25,50,48,32,6,3438,Flareon, ,Water,Water,4067,Kingler 1,Kingler,,00:06:24.47,00:06:42.93,00:25:56.38,15,0,0,6,42,93,VICEGRIP,LEER,BUBBLE,WATER GUN,18,30,30,19,0,0,0,0,18,47,49,45,25,25,33,931,1134,1418,765,765,1104,15,15,15,15,-1,-1,0,0,0,0,0,36,29,25,25,33,95302,37703,53895,1772,1932,1,0,0,1255,1255,0,0,77,35,10,25,23,0,949,687,69,69,48,1,28,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3942,0,0,0,0,3,10,0,0,0,1,0,3,0,Flareon
7-26,17:43:02,NINTEN,Kingler,Rival2-Nugget Bridge,3,Cerulean City,4,7:32.30,7:32,0h7m32s,0,0,0,17,0:29,22.161,VICEGRIP,LEER,BUBBLE,WATER GUN,2,1435,81,11,25,59,57,38,6,3858,Flareon, ,Water,Water,5105,Kingler 1,Kingler,Rival (Nugget Bridge),00:07:10.14,00:07:32.30,00:29:11.34,17,0,0,7,32,30,VICEGRIP,LEER,BUBBLE,WATER GUN,23,30,30,23,0,0,0,0,31,52,55,50,28,28,37,1106,1380,1618,916,916,1341,15,15,15,15,-1,-2,0,0,0,0,0,40,25,28,28,37,106999,43125,59638,2304,1932,2,0,0,1435,1435,0,0,81,36,11,25,23,0,1179,858,90,90,57,2,33,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4980,0,0,0,0,4,10,0,0,0,1,0,3,0,Flareon
7-26,17:43:19,NINTEN,Kingler,Bug Catcher,9,Route 24,2,7:49.78,7:49,0h7m49s,0,0,0,17,0:30,9.804,VICEGRIP,LEER,BUBBLE,WATER GUN,2,1446,81,12,25,63,61,40,6,4453,Flareon, ,Water,Water,5420,Kingler 1,Kingler,,00:07:39.98,00:07:49.78,00:30:20.35,17,0,0,7,49,78,VICEGRIP,LEER,BUBBLE,WATER GUN,19,30,30,23,0,0,0,0,26,52,55,50,28,28,37,1191,1445,1683,956,956,1436,15,15,15,15,0,0,0,0,0,0,0,61,50,28,28,37,111139,44443,62460,2304,1932,2,0,0,1446,1446,0,0,81,37,12,25,23,0,1300,933,95,95,61,2,35,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5295,0,0,0,0,4,10,0,0,0,1,0,3,0,Flareon
7-26,17:43:33,NINTEN,Kingler,Lass,8,Route 24,2,8:03.46,8:03,0h8m3s,0,0,0,17,0:31,10.949,VICEGRIP,LEER,BUBBLE,WATER GUN,2,1448,81,13,25,67,65,43,6,4593,Flareon, ,Water,Water,5762,Kingler 1,Kingler,,00:07:52.52,00:08:03.46,00:31:14.31,17,0,0,8,3,46,VICEGRIP,LEER,BUBBLE,WATER GUN,16,30,30,22,0,0,0,0,16,52,55,50,28,28,37,1286,1537,1775,1031,1031,1533,15,15,15,15,-1,0,0,0,0,0,0,40,50,28,28,37,114375,44571,65568,2304,1932,2,0,0,1448,1448,0,0,81,38,13,25,23,0,1385,1011,105,105,65,2,38,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5637,0,0,0,0,4,10,0,0,0,1,0,3,0,Flareon
7-26,17:43:52,NINTEN,Kingler,Youngster,4,Route 24,3,8:22.48,8:22,0h8m22s,0,0,0,18,0:32,14.342,VICEGRIP,LEER,BUBBLE,WATER GUN,2,1452,82,14,25,72,70,46,6,4803,Flareon, ,Water,Water,6281,Kingler 1,Kingler,,00:08:08.14,00:08:22.48,00:32:29.26,18,0,0,8,22,48,VICEGRIP,LEER,BUBBLE,WATER GUN,13,30,30,20,0,0,0,0,31,54,59,53,29,29,39,1391,1698,1889,1136,1136,1715,15,15,15,15,0,0,0,0,0,0,0,66,53,29,29,39,118870,44788,69458,2692,1932,2,0,0,1452,1452,0,0,82,39,14,25,23,0,1533,1119,112,112,70,3,40,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6156,0,0,0,0,4,10,0,0,0,1,0,3,0,Flareon
7-26,17:44:05,NINTEN,Kingler,Lass,7,Route 24,2,8:35.13,8:35,0h8m35s,0,0,0,18,0:33,9.811,VICEGRIP,LEER,BUBBLE,WATER GUN,2,1456,88,15,25,76,74,48,6,5013,Flareon, ,Water,Water,6669,Kingler 1,Kingler,,00:08:25.32,00:08:35.13,00:33:19.17,18,0,0,8,35,13,VICEGRIP,LEER,BUBBLE,WATER GUN,11,30,30,18,0,0,0,0,25,54,59,53,29,29,39,1486,1790,1981,1211,1211,1812,15,15,15,15,0,0,0,0,0,0,0,66,53,29,29,39,121861,44961,72276,2692,1932,2,0,0,1456,1456,0,0,88,40,15,25,23,0,1644,1206,118,118,74,3,42,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6544,0,0,0,0,4,10,0,0,0,1,0,3,0,Flareon
